20.39,21:20:05.108731,0,2021-05-25,1007.29,55.19,1533181
20.64,21:20:08.417964,1,2021-05-25,1006.69,52.56,11308017
21.00,21:20:11.731625,2,2021-05-25,1007.07,51.32,819572
19.08,21:20:15.028642,3,2021-05-25,1007.11,57.66,896322
20.39,21:20:18.336453,4,2021-05-25,1006.96,62.00,12586787
20.51,21:20:21.644558,5,2021-05-25,1006.34,50.82,11977654
20.37,21:20:25.766414,0,2021-05-25,1007.32,55.22,1531429
20.63,21:20:28.885477,1,2021-05-25,1006.72,52.72,11225131
21.10,21:20:32.003311,2,2021-05-25,1007.06,51.03,819071
19.07,21:20:35.121317,3,2021-05-25,1007.12,57.65,893930
20.38,21:20:38.240749,4,2021-05-25,1006.96,61.56,12586787
20.48,21:20:41.359834,5,2021-05-25,1006.35,50.85,11964286
20.34,21:20:45.485499,0,2021-05-25,1007.31,55.13,1532305
20.60,21:20:48.603696,1,2021-05-25,1006.70,52.64,11260505
21.17,21:20:51.721714,2,2021-05-25,1007.08,50.73,815582
19.07,21:20:54.839592,3,2021-05-25,1007.12,57.71,893930
20.34,21:20:57.958887,4,2021-05-25,1007.00,61.12,12586787
20.46,21:21:01.078170,5,2021-05-25,1006.36,50.83,11964286
20.29,21:21:05.199178,0,2021-05-25,1007.35,55.10,1531429
20.58,21:21:08.318249,1,2021-05-25,1006.72,52.35,11201672
21.21,21:21:11.435963,2,2021-05-25,1007.06,50.56,814590
19.07,21:21:14.553775,3,2021-05-25,1007.13,57.67,893334
20.34,21:21:17.673150,4,2021-05-25,1006.98,61.17,12586787
20.44,21:21:20.792892,5,2021-05-25,1006.36,50.87,11977654
20.30,21:21:24.913849,0,2021-05-25,1007.33,55.14,1530554
20.58,21:21:28.033022,1,2021-05-25,1006.71,52.58,11201672
21.27,21:21:31.151111,2,2021-05-25,1007.06,50.80,810648
19.05,21:21:34.269017,3,2021-05-25,1007.12,57.55,892144
20.33,21:21:37.389220,4,2021-05-25,1006.98,61.14,12586787
20.44,21:21:40.508340,5,2021-05-25,1006.37,50.74,11977654
20.29,21:21:44.629260,0,2021-05-25,1007.35,55.28,1528808
20.57,21:21:47.748483,1,2021-05-25,1006.71,52.56,11213390
21.27,21:21:50.866440,2,2021-05-25,1007.07,50.45,814095
19.03,21:21:53.984253,3,2021-05-25,1007.13,57.58,895722
20.33,21:21:57.103406,4,2021-05-25,1006.96,61.16,12586787
20.46,21:22:00.222654,5,2021-05-25,1006.37,50.93,12004480
20.31,21:22:04.343466,0,2021-05-25,1007.33,55.33,1528808
20.58,21:22:07.462638,1,2021-05-25,1006.72,52.67,11166667
21.40,21:22:10.580691,2,2021-05-25,1007.06,50.37,805289
19.04,21:22:13.698447,3,2021-05-25,1007.08,57.67,894527
20.31,21:22:16.817673,4,2021-05-25,1006.97,60.79,12586787
20.46,21:22:19.936845,5,2021-05-25,1006.38,50.77,12004480
20.29,21:22:24.057746,0,2021-05-25,1007.33,55.23,1532305
20.59,21:22:27.176973,1,2021-05-25,1006.71,52.56,11097309
21.52,21:22:30.294740,2,2021-05-25,1007.09,50.38,807716
19.05,21:22:33.412434,3,2021-05-25,1007.09,57.48,893334
20.33,21:22:36.531694,4,2021-05-25,1006.95,61.16,12586787
20.47,21:22:39.651046,5,2021-05-25,1006.38,50.91,12004480
20.29,21:22:43.772037,0,2021-05-25,1007.35,55.27,1524460
20.59,21:22:46.891432,1,2021-05-25,1006.71,52.71,11108809
21.57,21:22:50.009190,2,2021-05-25,1007.06,49.87,803358
19.05,21:22:53.126141,3,2021-05-25,1007.13,57.57,893930
20.32,21:22:56.245511,4,2021-05-25,1006.99,61.25,12586787
20.44,21:22:59.364675,5,2021-05-25,1006.41,50.66,11977654
20.28,21:23:03.485475,0,2021-05-25,1007.34,55.23,1525328
20.57,21:23:06.604614,1,2021-05-25,1006.74,52.58,11143452
21.63,21:23:09.722481,2,2021-05-25,1007.07,49.59,802396
19.03,21:23:12.840793,3,2021-05-25,1007.14,57.45,893930
20.29,21:23:15.959975,4,2021-05-25,1007.01,60.39,12586787
20.42,21:23:19.079678,5,2021-05-25,1006.37,50.72,12031426
20.28,21:23:23.200896,0,2021-05-25,1007.35,55.41,1520137
20.56,21:23:26.320103,1,2021-05-25,1006.73,52.56,11040165
